,press_date,press_name,ranking,title,url
36,2024. 9. 23. 월,SBS,7,[단독] 폭언하고 성희롱…집안 일도 시킨 '체육회장',https://n.news.naver.com/article/055/0001192113?ntype=RANKING
37,2024. 9. 23. 월,SBS,8,"""무서워서 못 다녀"" 부산 도로 한복판 '푹'…시민들 불안",https://n.news.naver.com/article/055/0001192113?ntype=RANKING
38,2024. 9. 23. 월,SBS,9,콘크리트서 16년 만에 발견된 시신…범인은 동거남,https://n.news.naver.com/article/055/0001192113?ntype=RANKING
39,2024. 9. 23. 월,SBS,10,"대통령실, 체코 원전 수주 비판에 ""어느 나라 정당·언론이냐""",https://n.news.naver.com/article/055/0001192113?ntype=RANKING
40,2024. 9. 23. 월,연합뉴스TV,1,"[단독] 안마의자에 끼어 숨진 반려견…제조사, 위험안내 나몰라라",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
41,2024. 9. 23. 월,연합뉴스TV,2,"다섯쌍둥이 출산 부부, 지원금 1억7천만원 넘게 받는다",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
42,2024. 9. 23. 월,연합뉴스TV,3,"필리핀 가사관리사 2명 연락두절…노동계 ""예견된 일""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
43,2024. 9. 23. 월,연합뉴스TV,4,"북한 풍선에 경고수위 높인 군 ""선 넘으면 군사적 조치""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
44,2024. 9. 23. 월,연합뉴스TV,5,"블랙리스트 작성자가 영웅?…""돈벼락 맞게 해주자""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
45,2024. 9. 23. 월,연합뉴스TV,6,"[씬속뉴스] 고속도로서 오리 매달고 광폭질주?!…""학대"" VS ""오리고기 먹으면서 뭘""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
46,2024. 9. 23. 월,연합뉴스TV,7,동거녀 살해한 뒤 시멘트로 암매장…16년 만에 덜미,https://n.news.naver.com/article/422/0000683547?ntype=RANKING
47,2024. 9. 23. 월,연합뉴스TV,8,"대통령실, 한동훈 독대 여부에 ""별도 협의할 사안""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
48,2024. 9. 23. 월,연합뉴스TV,9,"대통령실 ""독대는 별도 협의""…한동훈 ""조속한 시일 내에""",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
49,2024. 9. 23. 월,연합뉴스TV,10,"[날씨] 내일 아침 쌀쌀, 낮 기온 30도 밑돌아…강풍·풍랑 유의",https://n.news.naver.com/article/422/0000683547?ntype=RANKING
50,2024. 9. 23. 월,연합뉴스,1,휴대전화 보다가 '툭'…호암미술관 전시작 떨어져,https://n.news.naver.com/article/001/0014943346?ntype=RANKING
51,2024. 9. 23. 월,연합뉴스,2,"'성별 논란' 女복서, 밀라노 패션위크서 뜨거운 환대",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
52,2024. 9. 23. 월,연합뉴스,3,"[영상] 동거녀 시신 시멘트 붓고 암매장…16년만에 발각, 체포 순간에도",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
53,2024. 9. 23. 월,연합뉴스,4,'영원한 재야' 장기표 장례위원장에 김부겸·이부영·김정남,https://n.news.naver.com/article/001/0014943346?ntype=RANKING
54,2024. 9. 23. 월,연합뉴스,5,"美, 2027년식 커넥티드카부터 중국산 소프트웨어 쓰면 판매 금지",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
55,2024. 9. 23. 월,연합뉴스,6,"文 ""檢, 이재명과 나에게 이러는데 국민에겐 오죽하겠나""(종합)",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
56,2024. 9. 23. 월,연합뉴스,7,"尹·韓 독대에 용산 '난색'…韓 ""조속히 만나야""(종합)",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
57,2024. 9. 23. 월,연합뉴스,8,"""돈벼락 맞게 하자""…의사들, 블랙리스트 작성자 돕기 모금행렬(종합2보)",https://n.news.naver.com/article/001/0014943346?ntype=RANKING
58,2024. 9. 23. 월,연합뉴스,9,여교사 딥페이크 성착취물 소지한 '촉법소년' 중학생 수사,https://n.news.naver.com/article/001/0014943346?ntype=RANKING
59,2024. 9. 23. 월,연합뉴스,10,'모차르트 미공개 곡' 추정 악보 발견…사후 233년만,https://n.news.naver.com/article/001/0014943346?ntype=RANKING
60,2024. 9. 23. 월,한국일보,1,"수현, 결혼 5년 만에 파경... 위워크 한국 전 대표와 이혼",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
61,2024. 9. 23. 월,한국일보,2,"소 등심 '새우살' 시켰더니 '칵테일 새우' 배달... ""갈매기살은?""",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
62,2024. 9. 23. 월,한국일보,3,"몸통 잘려 몸부림치는 랍스터에 왕관 씌운 식당...""갑각류도 고통 느껴"" 비판 쇄도",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
63,2024. 9. 23. 월,한국일보,4,"""김 여사 결혼 후 연락 안 했다""던 이종호... 도이치 수사 착수 후 40회 통화기록",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
64,2024. 9. 23. 월,한국일보,5,16년 전 동거녀 살해 후 베란다에 시멘트로 암매장한 범인 검거,https://n.news.naver.com/article/469/0000824381?ntype=RANKING
65,2024. 9. 23. 월,한국일보,6,첫 기자회견 나서는 고려아연...공개매수 가격 인상 카드 고민하는 MBK,https://n.news.naver.com/article/469/0000824381?ntype=RANKING
66,2024. 9. 23. 월,한국일보,7,"포스코, 우리은행서 1조 원 끌어와 이차전지 소재사업 더 키운다",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
67,2024. 9. 23. 월,한국일보,8,"일본 ""러시아 초계기가 영공 3회 침범… 플레어 경고 발사""",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
68,2024. 9. 23. 월,한국일보,9,"대통령실, 韓 독대 요청 사실상 거부... ""꼭 내일 해야 성사되는 건 아냐""",https://n.news.naver.com/article/469/0000824381?ntype=RANKING
