,press_date,press_name,ranking,title
52,2024. 9. 15. 일,시사저널,4,이재명-한동훈 '의료대란' 해결사 경쟁…尹은 경찰‧소방 방문 격려
53,2024. 9. 15. 일,시사저널,5,"""추석 연휴 음주 단속 예고했는데""…경찰 비웃는 음주운전 여전"
54,2024. 9. 15. 일,시사저널,6,"김건희 그림자?…추석 정국, 尹대통령 앞에 놓인 세 가지 난제"
55,2024. 9. 15. 일,시사저널,7,"종이·비닐‧플라스틱…北, 추석에도 '오물 풍선' 50여개 날려 보냈다"
56,2024. 9. 15. 일,시사저널,8,"한동훈, 文정부 겨냥해 ""北 우라늄 공개, 굴종외교가 만든 현실"""
57,2024. 9. 15. 일,시사저널,9,이재명 기각→이준석 합당→'?'…이번 '추석 밥상'엔 누가 오를까
58,2024. 9. 15. 일,시사저널,10,추석 연휴 둘째 날 전국 596만대 이동…'정오~오후 1시 정점'
59,2024. 9. 16. 월,KBS,1,“‘72개월’ 할부라더니 실제는 ‘12개월’”…“포인트 사용 코드 때문” [제보K]
60,2024. 9. 16. 월,KBS,2,‘의사 블랙리스트’ 또 업데이트…“경찰은 헛짓거리 그만”
61,2024. 9. 16. 월,KBS,3,양육 안 하고 돈도 뜯는 부모…‘구하라법’도 못 막아
62,2024. 9. 16. 월,KBS,4,추석 코앞인데…서울 역대 가장 늦은 폭염특보
63,2024. 9. 16. 월,KBS,5,기체 결함으로 출발 지연…‘드론 출현’ 17분 운항 중단
64,2024. 9. 16. 월,KBS,6,"광주서 손가락 절단된 환자, 수술 의료진 없어 전주로 이송"
65,2024. 9. 16. 월,KBS,7,"윤 대통령, 경찰관·소방대원 격려…“제복 입은 영웅들에게 정당한 보상”"
66,2024. 9. 16. 월,KBS,8,발 디딜 틈 없는 전통시장…추석 대목 맞아 ‘북적’
67,2024. 9. 16. 월,KBS,9,[뉴스9 날씨] 내일도 곳곳 소나기…서쪽은 폭염특보
68,2024. 9. 16. 월,KBS,10,“미국 유권자 56%가 트럼프 관세공약 지지…민주당 3분의 1도 찬성”
69,2024. 9. 16. 월,서울경제,1,"성심당, '대전 명물' 그대로 남을까…월세 4.4억→1.3억 '뚝'"
70,2024. 9. 16. 월,서울경제,2,‘75년만에 최강’ 태풍 접근에 中 상하이 비상
71,2024. 9. 16. 월,서울경제,3,‘오빠 사랑해’ 낙서테러에…네덜란드 출신 유튜버 “미친 사람들이…”
72,2024. 9. 16. 월,서울경제,4,"""기차표 못 구해 귀성도 포기했는데…"" 승차권 10장 중 4장은 '노쇼' 였다"
73,2024. 9. 16. 월,서울경제,5,83평 220억 원에 팔렸다… 서울 최고가 아파트 '나인원한남'
74,2024. 9. 16. 월,서울경제,6,“아기 500만원에 파시면 안 될까요”…6년간 친자식처럼 기른 여성 결국
75,2024. 9. 16. 월,서울경제,7,"[영상]""수리비만 2200억? 그냥 폭파하자""…허리케인 피해입은 22층 빌딩 '와르르'"
76,2024. 9. 16. 월,서울경제,8,"""남편 바람기 막으려 '성적 어필 훈련' 간다?""…이틀간 비용이 무려?"
77,2024. 9. 16. 월,서울경제,9,"女직원 앞에서 ""OO 뽑아""…과기한림원 부원장 '폭언·갑질' 의혹 일파만파"
78,2024. 9. 16. 월,서울경제,10,휴대전화 게임했다고 아들 방에 가두고 때린 경찰관…아동학대 혐의 입건
79,2024. 9. 16. 월,파이낸셜뉴스,1,알바 면접 갔다가 성폭행 당한 10대…성병 결과 나온 날 '극단적 선택'
80,2024. 9. 16. 월,파이낸셜뉴스,2,"'미코 출신 레이싱모델’ 신해리, 갑작스런 사망..이틀 전 SNS에 올린 글 '의아'"
81,2024. 9. 16. 월,파이낸셜뉴스,3,"아이폰16, 8GB 램 탑재.. 갤럭시S24 결국 따라잡혔다 [1일IT템]"
82,2024. 9. 16. 월,파이낸셜뉴스,4,"""물건 훔쳤잖아""..20대 女손님, 강제로 몸 수색한 편의점 男직원"
83,2024. 9. 16. 월,파이낸셜뉴스,5,손가락 잘렸는데 100km 떨어진 곳에서 치료...추석 의료공백 노출
84,2024. 9. 16. 월,파이낸셜뉴스,6,법주사 주지스님 몰던 차량에...고향 찾은 30대 치여 숨져
85,2024. 9. 16. 월,파이낸셜뉴스,7,"장애아동 한명한명 챙긴 김건희 여사 ""작은 힘 보탤 것"""
86,2024. 9. 16. 월,파이낸셜뉴스,8,"""스타킹 찢기 배워요""..남편 바람기 막는 '섹시 어필' 훈련 캠프 등장 '경악'"
87,2024. 9. 16. 월,파이낸셜뉴스,9,'1호 기상캐스터' 김동완 전 기상통보관 별세…향년 89세
88,2024. 9. 16. 월,파이낸셜뉴스,10,"막말에 빠진 국회…尹정부서 ""양당 논평 공격성 3배 급증"""
89,2024. 9. 16. 월,SBS,1,"벌써 1800만 장 팔렸다…'오공' 열풍에 한국은 참담, 왜"
90,2024. 9. 16. 월,SBS,2,1400개 열차표 쓸었다 환불…포인트 빼먹는 꼼수 못 잡나
91,2024. 9. 16. 월,SBS,3,"페트병 오줌에 집안 쓰레기도…""지린내"" 더럽혀진 도로변"
